               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  75,             0.97443,             0.86582,              1.2339,             0.85845,             0.78134,             0.84812,             0.60801,              1.0939,             0.84842,              1.3988,            0.002674,            0.002674,            0.002674
                  76,             0.96034,             0.83464,              1.2209,             0.84636,             0.79315,             0.85128,             0.60986,              1.0959,              0.8372,              1.3942,            0.002575,            0.002575,            0.002575
                  77,             0.95996,             0.83365,              1.2158,             0.83926,             0.79543,             0.85067,             0.60625,              1.0949,              0.8481,              1.3986,            0.002476,            0.002476,            0.002476
                  78,             0.94557,             0.81347,              1.2102,             0.84438,             0.78687,              0.8489,             0.61136,              1.0964,             0.84677,              1.3997,            0.002377,            0.002377,            0.002377
                  79,             0.94928,             0.82034,              1.2227,             0.85308,             0.80214,             0.85347,             0.61068,              1.0921,             0.83734,              1.4004,            0.002278,            0.002278,            0.002278
                  80,             0.95204,             0.82898,              1.2197,             0.84755,             0.80229,              0.8532,             0.61021,              1.0945,             0.83602,              1.3986,            0.002179,            0.002179,            0.002179
                  81,             0.93386,             0.81288,              1.2104,             0.84509,             0.78921,             0.85507,             0.61632,              1.0877,             0.82949,              1.3929,             0.00208,             0.00208,             0.00208
                  82,             0.93906,             0.81116,              1.2099,             0.85034,             0.79901,             0.85493,             0.61743,              1.0928,             0.82138,              1.3949,            0.001981,            0.001981,            0.001981
                  83,             0.93666,             0.80796,              1.2033,             0.86178,             0.78972,             0.85316,             0.61733,               1.092,             0.83114,              1.3913,            0.001882,            0.001882,            0.001882
                  84,              0.9277,             0.78434,              1.2034,             0.84652,             0.80316,             0.85495,             0.61596,              1.0933,             0.83661,              1.3943,            0.001783,            0.001783,            0.001783
                  85,             0.81629,             0.60608,              1.1813,              0.8344,             0.79829,             0.84859,             0.61037,              1.0982,             0.84251,              1.3982,            0.001684,            0.001684,            0.001684
                  86,             0.80823,             0.58917,              1.1787,             0.87319,             0.77253,             0.84788,              0.6122,               1.104,             0.84211,              1.4066,            0.001585,            0.001585,            0.001585
                  87,             0.79588,             0.57167,              1.1675,             0.86202,             0.79077,             0.84645,             0.60977,              1.0994,             0.84737,              1.4085,            0.001486,            0.001486,            0.001486
                  88,              0.7842,             0.56147,              1.1619,             0.86684,              0.7769,             0.84543,             0.61154,              1.0955,             0.85424,              1.4027,            0.001387,            0.001387,            0.001387
                  89,             0.78022,             0.54455,              1.1588,             0.86421,             0.78482,             0.84753,             0.61221,              1.0953,             0.84601,              1.4062,            0.001288,            0.001288,            0.001288
                  90,             0.77026,             0.53222,              1.1485,             0.87036,             0.78247,             0.84755,             0.61389,              1.0994,             0.84272,              1.4098,            0.001189,            0.001189,            0.001189
                  91,             0.75621,             0.52719,              1.1439,             0.87807,             0.78107,             0.84889,             0.61679,              1.1022,             0.83867,              1.4157,             0.00109,             0.00109,             0.00109
                  92,             0.75887,             0.52475,              1.1429,             0.86638,              0.7848,             0.85159,             0.61567,               1.104,             0.83738,              1.4151,            0.000991,            0.000991,            0.000991
                  93,             0.75605,             0.51164,              1.1384,             0.87828,              0.7759,             0.85129,             0.61515,              1.1053,             0.84202,              1.4107,            0.000892,            0.000892,            0.000892
                  94,             0.74147,             0.49631,              1.1228,             0.85956,             0.79489,             0.85187,             0.61371,              1.1087,             0.84762,              1.4199,            0.000793,            0.000793,            0.000793
                  95,             0.74066,             0.50114,               1.134,             0.85376,             0.79398,             0.85201,             0.61583,              1.1084,             0.84174,              1.4226,            0.000694,            0.000694,            0.000694
                  96,             0.72825,             0.48599,              1.1203,             0.86404,             0.78761,             0.85142,             0.61581,              1.1092,             0.84532,              1.4277,            0.000595,            0.000595,            0.000595
                  97,             0.72412,             0.47865,              1.1156,              0.8422,             0.79985,             0.85025,             0.61567,              1.1089,              0.8527,              1.4288,            0.000496,            0.000496,            0.000496
                  98,             0.71881,             0.47574,              1.1177,             0.85923,             0.79282,             0.85009,             0.61722,              1.1123,             0.85423,              1.4342,            0.000397,            0.000397,            0.000397
                  99,             0.71228,             0.47487,              1.1151,             0.86192,             0.79199,             0.84918,             0.61586,              1.1112,             0.85051,              1.4369,            0.000298,            0.000298,            0.000298
